hex,lat,lon,n_focos,brillo_medio,brillo_max,frp_medio,frp_max,brillo_t31_medio,pct_noche,pct_verano,pct_conf_alta,n_anios_activo,mes_pico,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,cobertura_veg,dist_asentamiento_km,dist_ruta_km
85cfa1c3fffffff,-50.755,-70.653,133.0,315.513,367.0,2.234,19.46,273.956,0.85,0.165,0.015,11.0,8.0,320.0,5.77,361.35,6.55,72.73,matorral,122.601,30.469
85cfa1c7fffffff,-50.701,-70.858,33.0,319.837,347.62,2.433,12.82,275.667,0.697,0.212,0.0,9.0,4.0,347.0,5.77,361.35,6.55,72.73,matorral,106.882,22.252
85cfa1cbfffffff,-50.658,-70.487,18.0,320.386,348.16,2.958,10.56,279.95,0.667,0.111,0.0,2.0,10.0,340.0,5.77,361.35,6.55,72.73,pastizal,130.502,45.239
85cfa1cffffffff,-50.605,-70.692,5.0,311.516,334.91,1.736,3.26,279.83,0.8,0.2,0.0,3.0,3.0,355.0,5.77,361.35,6.55,72.73,matorral,114.959,37.498
85cfa1d7fffffff,-50.852,-70.82,142.0,321.123,367.0,2.9,13.22,278.858,0.669,0.345,0.028,12.0,1.0,319.0,5.77,361.35,6.55,72.73,matorral,116.351,17.205
85cfa1dbfffffff,-50.808,-70.447,14.0,309.584,336.05,1.539,5.5,274.528,0.857,0.214,0.0,6.0,8.0,325.0,5.77,361.35,6.55,72.73,pastizal,123.255,33.723
85cfa20ffffffff,-50.032,-68.593,2.0,345.1,353.63,4.03,5.0,288.825,0.5,0.5,0.0,2.0,1.0,115.0,8.12,310.25,6.26,65.51,pastizal,5.072,0.258
85cfa223fffffff,-49.931,-68.993,5.0,321.174,339.02,3.27,7.49,289.818,0.4,0.6,0.0,2.0,12.0,116.0,8.12,310.25,6.26,65.51,otro_0,7.797,1.965
85cfa24bfffffff,-49.935,-67.885,1.0,327.8,327.8,2.27,2.27,272.69,0.0,0.0,0.0,1.0,8.0,69.0,8.47,335.8,6.62,68.09,pastizal,46.539,38.805
85cfa24ffffffff,-49.886,-68.084,1.0,325.31,325.31,2.08,2.08,288.15,0.0,0.0,0.0,1.0,9.0,57.0,8.47,335.8,6.62,68.09,pastizal,34.54,25.615
85cfa257fffffff,-50.132,-68.192,6.0,351.042,367.0,4.69,4.97,298.823,0.0,1.0,0.333,1.0,1.0,0.0,8.47,335.8,6.62,68.09,agua,26.85,15.79
