hex,lat,lon,n_focos,riesgo_alto,proba_oof,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,dist_asentamiento_km,dist_ruta_km,cobertura_veg
85cea1cbfffffff,-43.28,-72.165,1.0,0,0.011230955,1319.0,5.22,1478.25,2.19,89.05,60.653,35.274,bosque
85cea1cffffffff,-43.217,-72.343,8.0,0,0.014423016,485.0,5.22,1478.25,2.19,89.05,72.643,47.981,bosque
85cea1d3fffffff,-43.518,-72.284,5.0,0,0.05635124,1606.0,5.22,1478.25,2.19,89.05,66.096,57.299,bosque
85cea1dbfffffff,-43.43,-72.135,1.0,0,0.01452645,902.0,5.22,1478.25,2.19,89.05,55.316,41.864,bosque
85cea207fffffff,-42.854,-70.622,35.0,0,0.048674352,532.0,7.32,667.95,4.55,73.26,57.379,30.579,suelo_desnudo
85cea20bfffffff,-42.826,-70.307,5.0,0,0.057411052,920.0,7.32,667.95,4.55,73.26,83.376,54.593,suelo_desnudo
85cea20ffffffff,-42.766,-70.481,2.0,0,0.03872982,719.0,7.32,667.95,4.55,73.26,70.526,39.461,suelo_desnudo
85cea217fffffff,-43.002,-70.589,9.0,0,0.037076235,603.0,7.32,667.95,4.55,73.26,57.376,25.966,suelo_desnudo
85cea223fffffff,-42.645,-70.83,7.0,0,0.078095086,837.0,7.57,671.6,4.26,72.17,49.974,11.965,pastizal
85cea227fffffff,-42.585,-71.004,6.0,0,0.037678692,779.0,7.57,671.6,4.26,72.17,35.83,1.846,pastizal
85cea22ffffffff,-42.498,-70.863,25.0,0,0.13013878,898.0,7.57,671.6,4.26,72.17,46.63,15.746,pastizal
85cea233fffffff,-42.793,-70.797,44.0,0,0.02095926,1076.0,7.57,671.6,4.26,72.17,44.791,14.789,suelo_desnudo
85cea237fffffff,-42.733,-70.972,9.0,0,0.16997853,874.0,7.57,671.6,4.26,72.17,34.859,0.202,pastizal
85cea243fffffff,-42.798,-69.993,4.0,0,0.045691565,1194.0,7.18,594.95,5.26,72.58,101.949,79.28,pastizal
85cea247fffffff,-42.738,-70.167,2.0,0,0.067221604,727.0,7.18,594.95,5.26,72.58,96.325,64.769,pastizal
85cea24ffffffff,-42.651,-70.027,7.0,0,0.02832204,519.0,7.18,594.95,5.26,72.58,109.779,76.392,suelo_desnudo
85cea257fffffff,-42.886,-70.132,5.0,0,0.02839173,898.0,7.18,594.95,5.26,72.58,87.129,64.61,suelo_desnudo
85cea263fffffff,-42.531,-70.374,8.0,0,0.0443059,671.0,7.57,671.6,4.26,72.17,84.524,51.328,suelo_desnudo
85cea267fffffff,-42.471,-70.548,14.0,0,0.113723814,612.0,7.57,671.6,4.26,72.17,69.331,40.271,matorral
85cea26bfffffff,-42.444,-70.235,1.0,0,0.0799271,1090.0,7.57,671.6,4.26,72.17,88.606,65.126,pastizal
85cea273fffffff,-42.679,-70.341,2.0,0,0.025493925,799.0,7.57,671.6,4.26,72.17,84.301,50.53,suelo_desnudo
85cea277fffffff,-42.619,-70.515,5.0,0,0.02396005,529.0,7.57,671.6,4.26,72.17,73.663,37.47,suelo_desnudo
85cea27bfffffff,-42.591,-70.201,3.0,0,0.14435194,817.0,7.57,671.6,4.26,72.17,98.423,63.241,pastizal
85cea28bfffffff,-43.209,-70.38,2.0,0,0.00738834,618.0,6.16,744.6,5.29,76.76,47.062,36.745,suelo_desnudo
85cea28ffffffff,-43.15,-70.555,1.0,0,0.021092085,656.0,6.16,744.6,5.29,76.76,43.339,23.008,suelo_desnudo
85cea29bfffffff,-43.357,-70.345,3.0,0,0.017309088,810.0,6.16,744.6,5.29,76.76,40.658,23.805,pastizal
85cea2a3fffffff,-43.029,-70.907,44.0,0,0.05762133,1101.0,7.32,667.95,4.55,73.26,35.983,5.079,pastizal
85cea2a7fffffff,-42.968,-71.083,6.0,0,0.16049272,813.0,7.32,667.95,4.55,73.26,20.233,2.797,pastizal
85cea2abfffffff,-42.941,-70.764,16.0,0,0.25049138,684.0,7.32,667.95,4.55,73.26,45.442,20.113,matorral
85cea2affffffff,-42.881,-70.94,2.0,0,0.33046338,1058.0,7.32,667.95,4.55,73.26,31.277,11.869,pastizal
85cea2b3fffffff,-43.177,-70.874,25.0,0,0.12785807,686.0,7.32,667.95,4.55,73.26,35.273,2.328,pastizal
85cea2b7fffffff,-43.117,-71.05,297.0,1,0.058351967,655.0,7.32,667.95,4.55,73.26,31.381,9.924,pastizal
85cea2bbfffffff,-43.09,-70.731,10.0,0,0.022660993,1071.0,7.32,667.95,4.55,73.26,45.157,10.857,matorral
85cea2c7fffffff,-43.121,-70.238,2.0,0,0.0044367258,907.0,7.18,594.95,5.26,72.58,62.168,48.963,suelo_desnudo
85cea2dbfffffff,-43.239,-69.887,1.0,0,0.0069140065,850.0,7.18,594.95,5.26,72.58,80.059,45.436,suelo_desnudo
85cea303fffffff,-42.486,-71.671,1134.0,1,0.5633927,1337.0,5.16,1080.4,2.27,82.85,19.818,33.892,bosque
85cea307fffffff,-42.423,-71.846,811.0,1,0.8356222,1907.0,5.16,1080.4,2.27,82.85,35.36,43.104,suelo_desnudo
85cea30bfffffff,-42.399,-71.527,933.0,1,0.29094297,819.0,5.16,1080.4,2.27,82.85,14.614,18.659,pastizal
85cea30ffffffff,-42.337,-71.701,650.0,1,0.47675124,1641.0,5.16,1080.4,2.27,82.85,29.371,28.941,suelo_desnudo
85cea317fffffff,-42.572,-71.815,386.0,1,0.92981553,1542.0,5.16,1080.4,2.27,82.85,32.217,49.16,bosque
85cea31bfffffff,-42.548,-71.496,14.0,0,0.7911367,744.0,5.16,1080.4,2.27,82.85,6.703,30.776,bosque
85cea323fffffff,-42.211,-72.05,175.0,1,0.11973181,495.0,5.77,1149.75,2.18,81.43,40.412,45.396,bosque
85cea32bfffffff,-42.125,-71.905,2.0,0,0.2167209,465.0,5.77,1149.75,2.18,81.43,25.985,31.039,pastizal
85cea333fffffff,-42.36,-72.02,63.0,0,0.39530674,1600.0,5.77,1149.75,2.18,81.43,47.592,52.016,suelo_desnudo
85cea33bfffffff,-42.274,-71.876,1014.0,1,0.25275743,713.0,5.77,1149.75,2.18,81.43,32.39,36.75,bosque
85cea347fffffff,-42.313,-71.384,45.0,0,0.08338605,957.0,6.19,788.4,3.1,77.06,22.283,3.464,pastizal
85cea34bfffffff,-42.288,-71.068,9.0,0,0.1219108,1278.0,6.19,788.4,3.1,77.06,27.591,4.83,pastizal
85cea34ffffffff,-42.227,-71.242,111.0,0,0.30215332,678.0,6.19,788.4,3.1,77.06,20.243,7.352,matorral
85cea357fffffff,-42.461,-71.353,11.0,0,0.48089147,566.0,6.19,788.4,3.1,77.06,8.438,18.102,pastizal
85cea35bfffffff,-42.436,-71.037,4.0,0,0.21648166,803.0,6.19,788.4,3.1,77.06,33.399,1.723,pastizal
85cea363fffffff,-42.102,-71.589,479.0,1,0.17897536,1022.0,5.77,1149.75,2.18,81.43,4.23,6.4,bosque
85cea367fffffff,-42.04,-71.762,1.0,0,0.3411021,1391.0,5.77,1149.75,2.18,81.43,13.557,17.869,bosque
85cea36bfffffff,-42.017,-71.446,231.0,1,0.2037305,1581.0,5.77,1149.75,2.18,81.43,8.222,6.89,pastizal
85cea36ffffffff,-41.954,-71.619,50.0,0,0.45360482,1080.0,5.77,1149.75,2.18,81.43,6.392,6.824,bosque
85cea373fffffff,-42.251,-71.558,142.0,0,0.3902239,1352.0,5.77,1149.75,2.18,81.43,20.893,14.506,pastizal
85cea377fffffff,-42.188,-71.732,52.0,0,0.085495725,928.0,5.77,1149.75,2.18,81.43,17.353,21.535,bosque
85cea37bfffffff,-42.165,-71.415,84.0,0,0.42189783,401.0,5.77,1149.75,2.18,81.43,14.197,1.089,bosque
85cea383fffffff,-42.87,-71.755,9.0,0,0.21221553,517.0,5.37,1102.3,2.32,83.61,33.441,31.143,bosque
85cea38bfffffff,-42.783,-71.61,47.0,0,0.17335047,995.0,5.37,1102.3,2.32,83.61,27.404,25.787,bosque
85cea39bfffffff,-42.932,-71.579,540.0,1,0.18184654,624.0,5.37,1102.3,2.32,83.61,19.089,15.358,bosque
85cea3a7fffffff,-42.532,-72.312,1.0,0,0.084414504,1099.0,5.16,1080.4,2.27,82.85,72.305,82.662,bosque
85cea3abfffffff,-42.509,-71.991,291.0,1,0.38951498,1505.0,5.16,1080.4,2.27,82.85,45.889,57.764,pastizal
85cea3c3fffffff,-42.758,-71.29,2.0,0,0.4800901,1645.0,5.98,843.15,3.4,78.38,17.316,13.955,pastizal
85cea3c7fffffff,-42.697,-71.465,1.0,0,0.053020798,1029.0,5.98,843.15,3.4,78.38,20.714,26.476,pastizal
85cea3cbfffffff,-42.671,-71.147,1.0,0,0.28971604,1437.0,5.98,843.15,3.4,78.38,29.172,5.647,pastizal
85cea3d3fffffff,-42.907,-71.258,27.0,0,0.13719165,807.0,5.98,843.15,3.4,78.38,5.078,1.649,pastizal
85cea3d7fffffff,-42.845,-71.434,16.0,0,0.20541936,803.0,5.98,843.15,3.4,78.38,11.767,11.221,pastizal
